iteration 	 keff 	 	 error	
1	 	0.901897	 	-0.0981029
2	 	0.938554	 	0.0366571
3	 	0.955678	 	0.0171237
4	 	0.965692	 	0.0100143
5	 	0.972349	 	0.00665737
6	 	0.977175	 	0.00482591
7	 	0.980902	 	0.00372708
8	 	0.98392	 	0.00301777
9	 	0.98645	 	0.00253025
10	 	0.988626	 	0.0021757
11	 	0.990531	 	0.00190446
12	 	0.992218	 	0.0016877
13	 	0.993726	 	0.00150813
14	 	0.995082	 	0.00135505
15	 	0.996303	 	0.00122175
16	 	0.997407	 	0.00110387
17	 	0.998406	 	0.000998492
18	 	0.999309	 	0.000903625
19	 	1.00013	 	0.000817792
20	 	1.00087	 	0.000739933
21	 	1.00154	 	0.000669204
22	 	1.00214	 	0.000604915
23	 	1.00269	 	0.000546479
24	 	1.00318	 	0.000493387
25	 	1.00363	 	0.000445182
26	 	1.00403	 	0.000401447
27	 	1.00439	 	0.000361804
28	 	1.00472	 	0.00032592
29	 	1.00501	 	0.000293412
30	 	1.00527	 	0.000264043
31	 	1.00551	 	0.000237513
32	 	1.00572	 	0.000213566
33	 	1.00592	 	0.000191965
34	 	1.00609	 	0.000172494
35	 	1.00624	 	0.000154952
36	 	1.00638	 	0.000139159
37	 	1.00651	 	0.000124945
38	 	1.00662	 	0.00011216
39	 	1.00672	 	0.000100663
40	 	1.00681	 	9.03306e-05
41	 	1.00689	 	8.10464e-05
42	 	1.00696	 	7.2707e-05
43	 	1.00703	 	6.51929e-05
44	 	1.00709	 	5.84988e-05
45	 	1.00714	 	5.24642e-05
46	 	1.00719	 	4.70491e-05
47	 	1.00723	 	4.21594e-05
48	 	1.00727	 	3.78034e-05
49	 	1.0073	 	3.38966e-05
50	 	1.00733	 	3.04296e-05
51	 	1.00736	 	2.72476e-05
52	 	1.00738	 	2.44309e-05
53	 	1.00741	 	2.19069e-05
54	 	1.00743	 	1.96449e-05
55	 	1.00744	 	1.76182e-05
56	 	1.00746	 	1.58027e-05
57	 	1.00747	 	1.41116e-05
58	 	1.00749	 	1.27224e-05
59	 	1.0075	 	1.13439e-05
60	 	1.00751	 	1.01733e-05
61	 	1.00752	 	9.12569e-06
62	 	1.00752	 	8.18717e-06
63	 	1.00753	 	7.44391e-06
64	 	1.00754	 	6.48544e-06
65	 	1.00754	 	6.02823e-06
66	 	1.00755	 	5.19265e-06
67	 	1.00755	 	4.77183e-06
68	 	1.00756	 	4.28829e-06
69	 	1.00756	 	3.7175e-06
70	 	1.00757	 	3.46567e-06
71	 	1.00757	 	2.9726e-06
72	 	1.00757	 	2.66005e-06
73	 	1.00757	 	2.24509e-06
74	 	1.00758	 	2.14523e-06
75	 	1.00758	 	1.79437e-06
76	 	1.00758	 	1.6096e-06
77	 	1.00758	 	1.44831e-06
78	 	1.00758	 	1.41633e-06
79	 	1.00758	 	1.16047e-06
80	 	1.00758	 	1.03879e-06
81	 	1.00758	 	9.34918e-07
IAEA-Pool  delx = 2 keff= 1.00758 with error: 9.34918e-07

flux distribution is saved in the flux___IAEA-Pool.m and .py file script
iteration 	 keff 	 	 error	
1	 	0.9019	 	-0.0981004
2	 	0.938575	 	0.0366756
3	 	0.95573	 	0.0171545
4	 	0.965781	 	0.0100511
5	 	0.972476	 	0.006695
6	 	0.977336	 	0.00486062
7	 	0.981093	 	0.00375691
8	 	0.984136	 	0.00304227
9	 	0.986685	 	0.00254972
10	 	0.988876	 	0.00219078
11	 	0.990792	 	0.00191599
12	 	0.992489	 	0.00169641
13	 	0.994003	 	0.00151464
14	 	0.995363	 	0.00135994
15	 	0.996589	 	0.00122545
16	 	0.997695	 	0.00110667
17	 	0.998696	 	0.00100066
18	 	0.999601	 	0.000905349
19	 	1.00042	 	0.000819205
20	 	1.00116	 	0.000741131
21	 	1.00183	 	0.000670254
22	 	1.00244	 	0.000605863
23	 	1.00299	 	0.000547358
24	 	1.00348	 	0.000494215
25	 	1.00393	 	0.000445972
26	 	1.00433	 	0.000402207
27	 	1.00469	 	0.000362537
28	 	1.00502	 	0.000326628
29	 	1.00531	 	0.000294095
30	 	1.00558	 	0.000264701
31	 	1.00581	 	0.000238146
32	 	1.00603	 	0.000214172
33	 	1.00622	 	0.000192544
34	 	1.00639	 	0.000173045
35	 	1.00655	 	0.000155476
36	 	1.00669	 	0.000139654
37	 	1.00681	 	0.000125413
38	 	1.00693	 	0.0001126
39	 	1.00703	 	0.000101078
40	 	1.00712	 	9.0719e-05
41	 	1.0072	 	8.13866e-05
42	 	1.00727	 	7.305e-05
43	 	1.00734	 	6.55378e-05
44	 	1.0074	 	5.87922e-05
45	 	1.00745	 	5.27093e-05
46	 	1.0075	 	4.73054e-05
47	 	1.00754	 	4.2398e-05
48	 	1.00758	 	3.8056e-05
49	 	1.00761	 	3.40966e-05
50	 	1.00764	 	3.05771e-05
51	 	1.00767	 	2.74212e-05
52	 	1.00769	 	2.45913e-05
53	 	1.00772	 	2.20541e-05
54	 	1.00774	 	1.97798e-05
55	 	1.00775	 	1.77417e-05
56	 	1.00777	 	1.59157e-05
57	 	1.00778	 	1.42176e-05
58	 	1.0078	 	1.28165e-05
59	 	1.00781	 	1.14327e-05
60	 	1.00782	 	1.03321e-05
61	 	1.00783	 	9.19607e-06
62	 	1.00784	 	8.25031e-06
63	 	1.00784	 	7.40427e-06
64	 	1.00785	 	6.64633e-06
65	 	1.00786	 	5.96721e-06
66	 	1.00786	 	5.35866e-06
67	 	1.00787	 	4.69265e-06
68	 	1.00787	 	4.32815e-06
69	 	1.00787	 	3.76188e-06
70	 	1.00788	 	3.50112e-06
71	 	1.00788	 	3.01094e-06
72	 	1.00788	 	2.69564e-06
73	 	1.00789	 	2.41519e-06
74	 	1.00789	 	2.03148e-06
75	 	1.00789	 	1.94847e-06
76	 	1.00789	 	1.62345e-06
77	 	1.00789	 	1.45607e-06
78	 	1.00789	 	1.42358e-06
79	 	1.0079	 	1.16625e-06
80	 	1.0079	 	1.04399e-06
81	 	1.0079	 	9.39652e-07
IAEA-Pool  delx = 1 keff= 1.0079 with error: 9.39652e-07

flux distribution is saved in the flux___IAEA-Pool.m and .py file script
iteration 	 keff 	 	 error	
iteration 	 keff 	 	 error	
1	 	0.901901	 	-0.0980992
2	 	0.938583	 	0.0366825
3	 	0.955748	 	0.0171649
4	 	0.965812	 	0.0100634
5	 	0.972519	 	0.00670746
6	 	0.977391	 	0.00487202
7	 	0.981158	 	0.00376673
8	 	0.984208	 	0.00305033
9	 	0.986764	 	0.00255614
10	 	0.98896	 	0.00219578
11	 	0.99088	 	0.00191982
12	 	0.992579	 	0.00169933
13	 	0.994096	 	0.00151683
14	 	0.995458	 	0.0013616
15	 	0.996684	 	0.00122669
16	 	0.997792	 	0.00110765
17	 	0.998793	 	0.00100141
18	 	0.999699	 	0.000905944
19	 	1.00052	 	0.000819692
20	 	1.00126	 	0.000741544
21	 	1.00193	 	0.000670615
22	 	1.00254	 	0.000606188
23	 	1.00308	 	0.000547657
24	 	1.00358	 	0.000494496
25	 	1.00403	 	0.000446238
26	 	1.00443	 	0.000402462
27	 	1.00479	 	0.000362782
28	 	1.00512	 	0.000326846
29	 	1.00541	 	0.000294326
30	 	1.00568	 	0.000264941
31	 	1.00592	 	0.000238354
32	 	1.00613	 	0.000214372
33	 	1.00632	 	0.000192735
34	 	1.0065	 	0.000173227
35	 	1.00665	 	0.000155648
36	 	1.00679	 	0.000139817
37	 	1.00692	 	0.000125567
38	 	1.00703	 	0.000112745
39	 	1.00713	 	0.000101214
40	 	1.00722	 	9.08244e-05
41	 	1.0073	 	8.15331e-05
42	 	1.00738	 	7.3161e-05
43	 	1.00744	 	6.56411e-05
44	 	1.0075	 	5.88626e-05
45	 	1.00755	 	5.28298e-05
46	 	1.0076	 	4.73884e-05
47	 	1.00764	 	4.24745e-05
48	 	1.00768	 	3.80948e-05
49	 	1.00772	 	3.41997e-05
50	 	1.00775	 	3.06379e-05
51	 	1.00777	 	2.74767e-05
52	 	1.0078	 	2.46426e-05
53	 	1.00782	 	2.21015e-05
54	 	1.00784	 	1.98236e-05
55	 	1.00786	 	1.7782e-05
56	 	1.00787	 	1.58958e-05
57	 	1.00789	 	1.43154e-05
58	 	1.0079	 	1.28484e-05
59	 	1.00791	 	1.14606e-05
60	 	1.00792	 	1.02801e-05
61	 	1.00793	 	9.30593e-06
62	 	1.00794	 	8.27274e-06
63	 	1.00795	 	7.42333e-06
64	 	1.00795	 	6.6637e-06
65	 	1.00796	 	5.98316e-06
66	 	1.00797	 	5.25986e-06
67	 	1.00797	 	4.83046e-06
